time,open,high,low,close,tick_volume,spread,real_volume
2022-04-20,41280.17,42208.95,40854.73,41408.76,52441,900,0
2022-04-21,41396.04,42992.21,40609.83,40732.57,66572,900,0
2022-04-22,40638.14,40841.4,39146.19,39579.56,68944,900,0
2022-04-23,39641.9,39975.79,39273.21,39802.01,35048,900,0
2022-04-24,39856.78,39947.05,38912.76,39484.26,41098,900,0
2022-04-25,39489.12,40369.51,38169.76,40125.26,76127,900,0
2022-04-26,40122.44,40801.41,37676.76,37967.24,77901,900,0
2022-04-27,38023.23,39466.52,37686.4,39117.26,69348,900,0
2022-04-28,39122.79,40389.27,38871.55,39905.01,72554,900,0
2022-04-29,39889.13,39988.44,38156.23,38571.26,72936,900,0
2022-04-30,38522.29,38792.84,38186.5,38314.26,41948,900,0
2022-05-01,38226.31,38692.21,37371.24,38073.9,46130,900,0
2022-05-02,38391.46,39155.7,38038.07,38317.76,97621,900,0
2022-05-03,38292.99,38911.01,37497.31,37578.76,60831,900,0
2022-05-04,37620.54,40028.0,37613.54,39790.63,76622,900,0
2022-05-05,39791.94,39881.97,35580.0,36337.01,76486,900,0
2022-05-06,36391.01,36654.51,35227.31,36083.1,100839,900,0
2022-05-07,35992.26,36138.51,35700.26,35784.0,33533,900,0
2022-05-08,35185.92,35745.81,33644.41,34221.2,77573,900,0
2022-05-09,34204.51,34453.86,30300.0,31299.49,115284,900,0
2022-05-10,30948.76,32636.76,29714.79,30998.91,122069,900,0
2022-05-11,31019.41,32140.83,28350.0,28366.51,141465,900,0
2022-05-12,28532.01,30074.76,25277.01,28612.42,156194,900,0
2022-05-13,28386.13,30984.06,27923.61,29743.16,121635,900,0
2022-05-14,29741.67,30071.99,28552.74,29314.01,58590,900,0
2022-05-15,29594.81,31088.26,29432.93,30941.01,70223,900,0
2022-05-16,31042.26,31393.13,29030.7,29821.95,94272,900,0
2022-05-17,30029.09,30741.75,29385.07,30097.01,86244,900,0
2022-05-18,30122.86,30679.51,28695.87,29175.59,96712,900,0
2022-05-19,29196.76,30509.51,28598.56,30157.76,91597,900,0
2022-05-20,30175.69,30727.95,28694.26,29124.76,89871,900,0
2022-05-21,29165.35,29615.51,28901.99,29352.51,44032,900,0
2022-05-22,29338.13,30285.76,29210.76,29948.23,49913,900,0
2022-05-23,29893.33,30640.26,29004.33,29262.51,85768,900,0
2022-05-24,29256.14,29601.42,28614.19,29426.58,83215,900,0
2022-05-25,29411.45,30189.26,29299.75,29713.01,80981,900,0
2022-05-26,29746.97,29846.76,27958.39,29422.51,84494,900,0
2022-05-27,29617.76,29659.26,28240.01,28751.76,92685,900,0
2022-05-28,28762.82,29243.5,28485.4,28994.01,35260,900,0
2022-05-29,28942.66,29446.78,28805.51,29129.76,48706,900,0
2022-05-30,29123.62,31385.21,29123.62,31211.26,63142,900,0
2022-05-31,31197.76,32372.76,31194.76,31767.16,75919,900,0
2022-06-01,31752.01,31953.51,29270.96,29629.37,80804,900,0
2022-06-02,29734.26,30377.07,29483.1,30255.26,73659,900,0
2022-06-03,30230.77,30675.26,29244.34,29653.76,72378,900,0
2022-06-04,29620.26,29992.51,29452.01,29710.01,39314,900,0
2022-06-05,29828.02,30142.08,29504.96,29926.01,52786,900,0
2022-06-06,29847.8,31736.26,29782.33,31423.26,82927,900,0
2022-06-07,31446.25,31564.58,29158.51,31298.1,89745,900,0
2022-06-08,31346.43,31508.61,29817.96,30209.51,92514,900,0
2022-06-09,30329.6,30677.51,29908.3,30156.51,74652,900,0
2022-06-10,30129.47,30347.8,28816.9,29180.01,83502,900,0
2022-06-11,29162.09,29415.76,28070.7,28443.14,54738,900,0
2022-06-12,28520.54,28651.51,26844.95,27368.01,83505,900,0
2022-06-13,27384.28,27495.78,22539.66,23236.75,157233,900,0
2022-06-14,23193.5,23288.25,20802.11,21955.01,152170,900,0
2022-06-15,22035.03,22367.26,20013.52,21709.26,146044,900,0
2022-06-16,21663.92,22957.26,20448.58,20630.01,151583,900,0
2022-06-17,20729.51,21331.12,20186.43,20589.76,137401,900,0
2022-06-18,20572.4,20746.38,17573.37,17632.01,101256,900,0
2022-06-19,18517.26,20686.21,17915.13,20450.01,120571,900,0
2022-06-20,20391.83,21033.21,19614.26,20432.26,139384,900,0
2022-06-21,20482.54,21699.23,20232.51,20808.01,115866,900,0
2022-06-22,20880.07,21015.68,19735.17,19939.51,116183,900,0
2022-06-23,19919.58,21098.81,19814.28,20807.01,106743,900,0
2022-06-24,20769.38,21438.52,20647.11,21233.26,103502,900,0
2022-06-25,21257.76,21597.14,20871.01,21201.51,62309,900,0
2022-06-26,21469.63,21865.01,21116.01,21358.01,71841,900,0
2022-06-27,21345.76,21509.01,20491.76,20902.26,92023,900,0
2022-06-28,20863.76,21188.01,20178.51,20271.26,88487,900,0
2022-06-29,20267.51,20433.71,19820.21,20108.5,94890,900,0
2022-06-30,20163.15,20326.0,18582.78,18660.5,99689,900,0
2022-07-01,18761.19,20863.18,18711.09,19391.75,111753,900,0
2022-07-02,19394.0,19452.05,18959.12,19237.5,59766,900,0
2022-07-03,19327.21,19629.32,18748.31,19423.75,70827,900,0
2022-07-04,19400.75,20090.25,19025.5,19751.75,93438,900,0
2022-07-05,19765.5,20722.25,19280.0,20461.5,114235,900,0
2022-07-06,20440.24,20459.25,19735.75,20368.5,111793,900,0
2022-07-07,20356.45,21826.5,20221.49,21534.75,98862,900,0
2022-07-08,21648.5,22479.8,21168.21,21850.25,122104,900,0
2022-07-09,21853.03,21996.24,21296.54,21660.5,80426,900,0
2022-07-10,21689.07,21733.29,20628.36,20937.0,102701,900,0
2022-07-11,21053.54,21164.5,20238.9,20438.75,113074,600,0
2022-07-12,20389.0,20408.5,19254.87,19394.5,118764,600,0
2022-07-13,19269.0,20075.92,18900.19,19631.13,136174,600,0
2022-07-14,19668.74,20887.31,19610.02,20630.11,202737,600,0
2022-07-15,20681.84,21182.5,20366.92,20929.61,184560,600,0
2022-07-16,20938.55,21576.81,20471.5,21144.38,139110,600,0
2022-07-17,21156.66,21664.34,20813.22,20942.56,136027,600,0
2022-07-18,20953.85,22761.55,20744.05,21542.68,190642,600,0
2022-07-19,21463.55,23692.29,21447.05,23260.61,211113,600,0
2022-07-20,23290.86,24269.06,22919.91,23267.3,197442,600,0
2022-07-21,23306.88,23787.71,22339.51,23198.87,184119,600,0
2022-07-22,23096.77,23751.42,22497.05,22551.18,167953,600,0
2022-07-23,22661.63,22991.46,21931.59,22324.61,93843,600,0
2022-07-24,22262.9,22900.38,22242.03,22757.01,131057,600,0
2022-07-25,22743.43,23000.17,21551.28,22185.46,155125,600,0
2022-07-26,22132.43,22161.33,20718.3,20934.36,156844,600,0
2022-07-27,21019.26,23098.27,20810.21,22783.36,151374,600,0
2022-07-28,22696.67,24196.5,22572.89,24064.41,158490,600,0
2022-07-29,24088.32,24445.82,23433.52,23922.4,167008,600,0
2022-07-30,23954.44,24678.38,23641.01,23953.88,119285,600,0
2022-07-31,23580.65,24183.33,23381.42,23817.13,119018,600,0
2022-08-01,23794.95,23813.93,22849.31,22983.76,150594,600,0
2022-08-02,23080.2,23451.07,22652.31,23004.33,166681,600,0
2022-08-03,23008.46,23635.65,22680.98,23338.47,144431,600,0
2022-08-04,23355.69,23356.11,22381.84,22534.25,150287,600,0
2022-08-05,22534.35,23452.21,22437.54,22955.73,139746,600,0
2022-08-06,23039.87,23349.58,22982.71,23154.71,84552,600,0
2022-08-07,23182.28,23282.1,22843.37,23228.38,77098,600,0
2022-08-08,23330.07,24237.83,23053.7,24043.56,139259,600,0
2022-08-09,24000.38,24013.63,22862.68,23171.33,127788,600,0
2022-08-10,23171.78,24176.32,22652.5,23819.08,132655,600,0
2022-08-11,23808.35,24914.64,23777.86,24192.96,143291,600,0
2022-08-12,24195.33,24319.11,23582.18,24177.07,130970,600,0
2022-08-13,24169.45,24883.93,24065.05,24493.53,101406,600,0
2022-08-14,24477.87,25037.96,24145.1,24325.13,109671,600,0
2022-08-15,24266.05,25206.69,23871.42,24044.48,149312,600,0
2022-08-16,24060.83,24238.85,23662.75,23969.97,164777,600,0
2022-08-17,23973.5,24436.48,23174.4,23390.33,161692,600,0
2022-08-18,23343.68,23590.36,23228.48,23421.48,158446,600,0
2022-08-19,23410.49,23411.78,21143.02,21267.81,190997,600,0
2022-08-20,21234.95,21358.71,20774.42,20820.3,130161,600,0
2022-08-21,21180.19,21788.26,21047.36,21644.36,135497,600,0
2022-08-22,21494.1,21697.42,20892.14,21077.01,155489,600,0
2022-08-23,21094.15,21671.33,20887.05,21469.28,156535,600,0
2022-08-24,21487.3,21899.53,21142.23,21695.38,144532,900,0
2022-08-25,21679.47,21806.17,21297.71,21645.46,138119,900,0
2022-08-26,21659.41,21864.17,20525.84,20647.53,135818,900,0
2022-08-27,20664.66,20676.67,19761.0,19959.88,97985,900,0
2022-08-28,19886.39,20144.33,19799.13,19978.51,97826,900,0
2022-08-29,19982.14,20407.25,19508.82,20157.46,151924,900,0
2022-08-30,20157.04,20566.51,19532.28,19980.06,154972,900,0
2022-08-31,19934.55,20479.52,19744.75,20191.91,168906,900,0
2022-09-01,20170.26,20284.92,19558.42,20061.38,183164,900,0
2022-09-02,20049.55,20431.52,19745.76,19903.18,168530,900,0
2022-09-03,19968.2,20047.06,19629.4,19723.48,100565,900,0
2022-09-04,19761.73,19945.01,19575.14,19893.41,110350,900,0
2022-09-05,19869.62,20048.08,19628.46,19745.06,114487,900,0
2022-09-06,19741.72,20174.68,18639.98,18953.71,181502,900,0
2022-09-07,19013.46,19441.9,18513.17,19437.17,131179,900,0
2022-09-08,19425.75,19453.96,19006.98,19343.76,152696,900,0
2022-09-09,19346.0,21427.16,19246.01,21251.52,159964,900,0
2022-09-10,21240.78,21665.35,21113.03,21383.03,117359,900,0
2022-09-11,21644.48,21862.17,21342.85,21553.8,138653,900,0
2022-09-12,21661.09,22478.68,21454.7,22394.76,149764,900,0
2022-09-13,22373.91,22779.99,20037.64,20327.01,200754,900,0
2022-09-14,20162.5,20514.63,19604.95,19914.25,188310,900,0
2022-09-15,19888.0,20383.47,19494.87,19803.28,195054,900,0
2022-09-16,19826.75,19884.45,19320.8,19731.33,184780,900,0
2022-09-17,19706.96,20177.75,19685.88,20058.83,102253,900,0
2022-09-18,20035.3,20136.71,19555.08,19698.36,127924,900,0
2022-09-19,19682.11,19682.11,18243.42,19518.83,193585,900,0
2022-09-20,19493.75,19674.16,18721.89,18966.48,171227,900,0
2022-09-21,18948.25,19979.33,18607.43,18934.86,189295,900,0
2022-09-22,18848.51,19484.43,18139.05,19259.29,214061,900,0
2022-09-23,19275.5,19503.52,18520.61,18874.01,200906,900,0
2022-09-24,18844.74,19395.71,18786.75,19136.96,110418,900,0
2022-09-25,18915.66,19174.55,18799.8,18907.06,124601,900,0
2022-09-26,18898.35,19306.86,18619.16,19113.76,191831,900,0
2022-09-27,19115.0,20374.0,18809.18,19005.08,215144,900,0
2022-09-28,18977.75,19654.07,18464.19,19551.91,200090,900,0
2022-09-29,19541.5,19768.65,18834.94,19490.96,195407,900,0
2022-09-30,19512.75,20171.38,19138.25,19398.58,170766,900,0
2022-10-01,19394.0,19468.95,19150.47,19247.21,74903,900,0
2022-10-02,19278.36,19388.46,19028.16,19246.21,91555,900,0
2022-10-03,19207.36,19642.23,18911.5,19570.73,171377,900,0
2022-10-04,19557.25,20462.75,19486.06,20359.76,175733,900,0
2022-10-05,20388.5,20395.0,19725.26,20267.33,147659,900,0
2022-10-06,20029.0,20440.5,19868.73,20038.66,187855,900,0
2022-10-07,20036.5,20054.75,19317.58,19524.18,152860,900,0
2022-10-08,19522.18,19630.45,19409.18,19440.03,64032,900,0
2022-10-09,19280.34,19547.43,19260.54,19465.78,85164,900,0
2022-10-10,19465.16,19518.11,19100.61,19227.33,243333,900,0
2022-10-11,19256.65,19260.73,18849.97,19021.78,251813,900,0
2022-10-12,19023.16,19190.08,18967.58,19143.06,211858,900,0
2022-10-13,19167.63,19498.76,18103.96,19374.43,182362,900,0
2022-10-14,19382.09,19943.93,19101.88,19166.38,214328,900,0
2022-10-15,19188.25,19212.64,19031.38,19091.58,71277,900,0
2022-10-16,19052.66,19414.41,18968.13,19296.01,114521,900,0
2022-10-17,19320.16,19667.91,19092.33,19535.58,205709,900,0
2022-10-18,19502.0,19697.46,19081.13,19365.03,211028,900,0
2022-10-19,19352.17,19363.16,19061.63,19172.53,201690,900,0
2022-10-20,19199.23,19343.21,18893.01,19022.68,230557,900,0
2022-10-21,18992.16,19242.08,18636.0,19161.11,184499,900,0
2022-10-22,19153.37,19245.35,19103.38,19211.98,51987,900,0
2022-10-23,19188.76,19521.04,19062.66,19475.46,80849,900,0
2022-10-24,19492.91,19689.69,19148.68,19360.93,196013,900,0
2022-10-25,19375.86,20410.33,19228.88,20138.71,200704,900,0
